YEAR,ORISPL,PNAME,PSTATABB,PLPRMFL,PLHTIAN,PLNGENAN,NAMEPCAP,CAPFAC,PLCO2AN
2018,3460,Cedar Bayou,TX,NG,15747236,1437763,2295,0.07152,935834.4
2018,3464,Greens Bayou,TX,NG,753275,48969,878.4,0.00636,44024.802
2018,3469,T H Wharton,TX,NG,5849942,572455.998,1437.7,0.04545,345186.574
2018,3476,Knox Lee Power Plant,TX,NG,1822435,142855,501,0.03255,108307.9
2018,3477,Lone Star Power Plant,TX,NG,86137,5917,40,0.01689,5118.9
2018,3478,Wilkes Power Plant,TX,NG,6815977,577375,882,0.07473,405075.2
2018,3482,Jones Station,TX,NG,25866323,2400985,860.4,0.31856,1538046.8
2018,3484,Nichols Station,TX,NG,10221875,869806,474.7,0.20917,607479.3
2018,3485,Plant X,TX,NG,14120435,1221177,434.4,0.32091,839160.7
2018,3490,Graham,TX,NG,1546512,131164,634.7,0.02359,91908.9
2018,3491,Handley Generating Station,TX,NG,9226755,757356,1433.3,0.06032,548543.9
2018,3492,Morgan Creek,TX,NG,146326,9111,2163.7,0.00048,8551.954
2018,3494,Permian Basin,TX,NG,926603,66529,1097.4,0.00692,55443.2
2018,3504,Stryker Creek,TX,NG,1458818,115130,713.4,0.01842,86693.1
2018,3507,Trinidad,TX,NG,624228,40265,243.3,0.01889,37098.3
2018,3548,Decker Creek,TX,NG,10634792,902273,932.3,0.11048,630927.856
2018,3559,Silas Ray,TX,NG,464935,40928,170.4,0.02742,27636.5
2018,3561,Bryan (TX),TX,NG,7058,549,138,0.00045,412.501
2018,3576,Ray Olinger,TX,NG,1035618,80947,427.7,0.02161,61543
2018,3601,Sim Gideon,TX,NG,5836651,550196,623,0.10082,346862.5
2018,3602,Ty Cooke,TX,NG,145186,9170,150.6,0.00695,8485.328
2018,3604,J Robert Massengale Generating Station,TX,NG,1527673,171241,107,0.18269,90791.2
2018,3609,Leon Creek,TX,NG,2260063,201102,418.3,0.05488,134310.8
2018,3611,O W Sommers,TX,NG,10756813,912427,892,0.11677,639277.5
2018,3612,V H Braunig,TX,NG,29067690,3786807,1713,0.25235,1727642.8
2018,3628,R W Miller,TX,NG,5193614,402062,603.6,0.07604,309189.6
2018,3630,Pearsall,TX,NG,2559771,273303,267.6,0.11659,149604.6
2018,3631,Sam Rayburn Plant,TX,NG,2062196,223591,240.2,0.10626,124213
2018,3648,Gadsby,UT,NG,1020953,59310,492.1,0.01376,60670.8
2018,3665,Bountiful City,UT,NG,223518.999,20513.001,44.4,0.05274,13063.464
2018,3775,Clinch River,VA,NG,6749917,563546,712.5,0.09029,401136.3
2018,3796,Bremo Power Station,VA,NG,164355,14083,254.2,0.00632,9767.2
2018,3804,Possum Point Power Station,VA,NG,27463158,3723249.002,2081.9,0.20415,1645403.7
2018,3991,Fitchburg Generating Station,WI,NG,1914,-150,57.6,0,111.863
2018,3992,Blount Street,WI,NG,415099,25584,187.5,0.01558,24672.2
2018,3993,Sycamore (WI),WI,NG,875,-220,41.6,0,51.139
2018,4014,Wheaton Generating Plant,WI,NG,374257,22990.002,300.2,0.00874,22189.624
2018,4040,Port Washington Generating Station,WI,NG,40810584,5829109,1548.4,0.42975,2425325.5
2018,4042,Valley (WEPCO),WI,NG,1824680.366,276122,274.7,0.11475,108167.126
2018,4057,Rock River,WI,NG,278234,11726.001,318.9,0.0042,16261.256
2018,4059,Sheepskin,WI,NG,97513,2148,41.7,0.00588,5699.101
2018,4076,West Marinette,WI,NG,3191653,236040.999,270.1,0.09976,189694.8
2018,4100,Arcadia Electric,WI,NG,6040.999,183,16.9,0.00124,443.529
2018,4118,Kaukauna Gas Turbine,WI,NG,21302,2013,18,0.01277,1244.985
2018,4195,Power Lane Steam Plant,TX,NG,24646,32019.001,112.2,0.03258,1456.2
2018,4251,Logan City,UT,NG,25272.999,1425.999,21.5,0.00757,1477.068
2018,4256,Walnut,CA,NG,10420,10,49.8,2e-05,608.992
2018,4266,Spencer,TX,NG,136403,9377,173.7,0.00616,8108.6
2018,4937,T C Ferguson Power Plant,TX,NG,21299829,3086140,1020.6,0.34519,1265819.1
2018,4939,Barney M. Davis,TX,NG,14167409,1800646,1082.2,0.18994,841951.2
2018,4940,Riverside (4940),OK,NG,7551363,604262,1121.7,0.0615,448374.6
2018,5083,Cumberland Energy Center,NJ,NG,1845485,198482,231.2,0.098,111984.8
2018,6035,Greenwood,MI,NG,9179424,806797.001,1071.3,0.08597,544512.3
2018,6042,Manatee,FL,NG,69847986,8662798,2951.2,0.33509,4182471.5
2018,6043,Martin,FL,NG,99136407,12881581,6071.5,0.2422,5922163
2018,6058,Cascade Creek,MN,NG,401547,34789,84.9,0.04678,23783.32
2018,6060,Coachella,CA,NG,45944,2790,92.4,0.00345,2685.176
2018,6063,Electrifarm,IA,NG,125322,5537.999,264.1,0.00239,7324.385
2018,6074,Greenwood Energy Center,MO,NG,353110,14661,261.8,0.00639,20637.348
2018,6088,North Loop,AZ,NG,124095.999,7897.999,107.8,0.00836,7252.732
2018,6112,Fort St. Vrain,CO,NG,27967412,3569204,1148.5,0.35476,1662062.8
2018,6120,Whitehorn,WA,NG,768377,28556,169.2,0.01927,44907.432
2018,6210,Northeast (WA),WA,NG,18566,1515,61.8,0.0028,1085.081
2018,6223,Empire District Elec Co Energy Ctr,MO,NG,1554803,117952,379,0.03553,95288.4
2018,6243,Roland C. Dansby Power Plant,TX,NG,2077806,139787,203.2,0.07853,123485.9
2018,6253,Germantown Power Plant,WI,NG,651076,39479,335.7,0.01342,43664.2
2018,6292,Bernice Lake,AK,NG,23696,396.001,76.7,0.00059,1384.901
2018,6293,International,AK,NG,5735,-752,46.3,0,335.18
2018,6358,Hutchinson - Plant 2,MN,NG,262715,23088,115.5,0.02282,15612.6
2018,6373,Rokeby,NE,NG,548893,36505,266.1,0.01566,32450.607
2018,6515,Valencia,AZ,NG,38404.999,3042,108,0.00322,2244.563
2018,6558,D G Hunter,LA,NG,1655523.002,187274.997,240.1,0.08904,96756.261
2018,6559,George M Sullivan Generation Plant 2,AK,NG,7076443.813,843328,418,0.23031,413587.107
2018,6635,Alfred L Pierce Generating Station,CT,NG,34845,3520,106.5,0.00377,2105
2018,6791,Augusta Electric Plant No 2,KS,NG,27879,1901,20.7,0.01048,1629.375
2018,7013,East 12th Street,KS,NG,49142,3574,28.1,0.01452,2898.8
2018,7018,Chanute 3,KS,NG,23416.999,291,34.8,0.00095,1556.081
2018,7028,Whitehead,UT,NG,111330,10130.999,31,0.03731,6506.629
2018,7032,Gravel Neck Combustion Turbine,VA,NG,1150585,91390.001,407.7,0.02559,75899.4
2018,7060,Sibley No Two,IA,NG,304,14.7,1.1,0.00153,17.767
2018,7063,McIntosh (7063),AL,NG,4652072,432523,676,0.07304,276465.7
2018,7082,Harry Allen,NV,NG,26793725,3666215,745,0.56177,1592316.7
2018,7111,Heber City,UT,NG,192085.999,19481,19.6,0.11346,11226.377
2018,7131,Brandon Station,TX,NG,134246.168,13133,21,0.07139,7845.954
2018,7145,Pleasant Hill Energy Center,IA,NG,214492,12872,179.8,0.00817,12672.044
2018,7158,Woodsdale,OH,NG,1910108,116440.998,571.8,0.02325,113516.3
2018,7159,Concord,WI,NG,2064644,142667,381.6,0.04268,123576.6
2018,7173,Barrow,AK,NG,758111,48253.001,20.3,0.27135,44307.44
